ExitButton,Salir
PlayerHat,Sombrero
PlayerSkin,Disfraz
PlayerPet,Mascota
GameSettings,Partida
GameRecommendedSettings,Configuración Recomendada
GameCustomSettings,Configuración Personalizada
GameMapName,Mapa
GameNumImpostors,# Impostores
GameNumMeetings,# Reuniones De Emergencia
GameDiscussTime,Tiempo De Discusión
GameVotingTime,Tiempo De Voto
GamePlayerSpeed,Velocidad Del Jugador
GameCrewLight,Visíon De La Tripulación
GameImpostorLight,Visión Del Impostor
GameKillCooldown,Recarga De Asesinato
GameKillDistance,Distancia De Asesinato
GameCommonTasks,Tareas Comunes
GameLongTasks,Tareas Largas
GameShortTasks,Tareas Cortas
GameEmergencyCooldown,Recarga De Emergencia
Limit,Límite
RoomCode,Sala
LeaveGame,Salir de la Partida
ReturnToGame,Volver al Juego

LocalHelp,¿Problemas de conexión?\n\n● Asegúrate de que todos estén conectados a la misma red WiFi\n● Asegúrate de que todos tienen la misma versión (visible en la esquina izquierda)\n● Asegúrate de que tu señal WiFi sea lo suficientemente fuerte\n● A veces, que otra persona sea la anfitriona, puede ayudar\n● A veces reiniciar la aplicación puede ayudar\n● A veces reiniciar tu dispositivo puede ayudar\n● ¿Sigues teniendo problemas? ¡Déjanoslo saber en nuestro discord!
OnlineHelp,¿Como funciona esto?\n\n● Ser el anfitrión de una partida te da un código, ubicado debajo del boton comenzar.\n● Comparte ese código con tus amigos para crear una sala privada.\n● O pulsa "privada" para hacer que la sala sea pública y aparezca en "Encontrar Partida".\n● ¿Sigues teniendo problemas? ¡Déjanoslo saber en nuestro discord!

EmergencyCount,EL TRIPULANTE {0} TIENE\n\n\n\nREUNIÓNES DE EMERGENCIA RESTANTES
EmergencyNotReady,CREWMATES MUST WAIT\n\n\n\nBEFORE NEXT EMERGENCY
EmergencyDuringCrisis,EMERGENCY MEETINGS CANNOT\nBE CALLED DURING CRISES
EmergencyRequested,EMERGENCY MEETING REQUESTED\nWAITING FOR HOST

AdPolicyTitle,Política Publicitaria
AdPolicyText,Among Us usa las anuncios de AdMob después de cada partida para mantener\nel juego gratis. Por defecto, AdMob colecta información para darte anuncios\npersonalizados. AdMob seguirá utilizando cookies e ID's del dispositivo,\nincluso para anuncios no personalizados. No podemos deshabilitar esto, por lo\nque recomendamos comprar la actualización para quitar anuncios (2 USD).\n\nSi compras esta actualización, tu y tus amigos tampoco tendrán anuncios si tu\neres el anfitrión. Si ya has comprado esta actualización, abre la tienda para\nrecuperar el recibo.\n
Accept,Aceptar
RemoveAds,Eliminar Anuncios
DataPolicyWhat,¿Qué es Recolectado?

SettingShort,Corta
SettingMedium,Normal
SettingLong,Larga
SamplesPress,Presiona Para Empezar
SamplesAdding,Añadiendo Reactivo
SamplesSelect,Seleccionar Anomalía
SamplesThanks,¡Gracias!
SamplesComplete,Prueba Completada
AstDestroyed,Destruidos:
TaskTestTitle,Probador de Tareas 2000

BeginDiagnostics,Empezar Diagnósticos
UserLeftGame,{0} abandonó la partida.
GameStarting,Empezando en {0}
